,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,timestamp,IP Address,headline_polarity,body_polarity,Fake_label,Fake_Label,sentiment
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
0,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,82850235,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,193.93.167.87,Positive,Positive,No,Yes,positive
1,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,82850235,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,193.93.167.87,Neutral,Positive,Yes,Yes,positive
2,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,193.93.167.87,Positive,Positive,No,Yes,positive
3,US,4332923,RRB9C05HDOD4O,B00QUFTPV4,82850235,abcGoodefg® FBI Covert Acoustic Tube Earpiece Headset PTT Mic for Motorola Two Way Radio Device Walkie Talkie GP88 300 2000 CT150 P040 PRO1150 SP10 XTN500 2pin,Mobile_Electronics,4,0.0,0.0,N,Y,Work very well,Work very well ,2015-08-31,1441015251.0,193.93.167.87,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
0,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,82850235,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,193.93.167.87,Positive,Positive,No,Yes,positive
1,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,82850235,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,193.93.167.87,Neutral,Positive,Yes,Yes,positive
2,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,193.93.167.87,Positive,Positive,No,Yes,positive
3,US,4332923,RRB9C05HDOD4O,B00QUFTPV4,82850235,abcGoodefg® FBI Covert Acoustic Tube Earpiece Headset PTT Mic for Motorola Two Way Radio Device Walkie Talkie GP88 300 2000 CT150 P040 PRO1150 SP10 XTN500 2pin,Mobile_Electronics,4,0.0,0.0,N,Y,Work very well,Work very well ,2015-08-31,1441015251.0,193.93.167.87,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
0,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,82850235,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,193.93.167.87,Positive,Positive,No,Yes,positive
1,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,82850235,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,193.93.167.87,Neutral,Positive,Yes,Yes,positive
2,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,193.93.167.87,Positive,Positive,No,Yes,positive
3,US,4332923,RRB9C05HDOD4O,B00QUFTPV4,82850235,abcGoodefg® FBI Covert Acoustic Tube Earpiece Headset PTT Mic for Motorola Two Way Radio Device Walkie Talkie GP88 300 2000 CT150 P040 PRO1150 SP10 XTN500 2pin,Mobile_Electronics,4,0.0,0.0,N,Y,Work very well,Work very well ,2015-08-31,1441015251.0,193.93.167.87,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
0,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,82850235,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,193.93.167.87,Positive,Positive,No,Yes,positive
1,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,82850235,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,193.93.167.87,Neutral,Positive,Yes,Yes,positive
2,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,193.93.167.87,Positive,Positive,No,Yes,positive
3,US,4332923,RRB9C05HDOD4O,B00QUFTPV4,82850235,abcGoodefg® FBI Covert Acoustic Tube Earpiece Headset PTT Mic for Motorola Two Way Radio Device Walkie Talkie GP88 300 2000 CT150 P040 PRO1150 SP10 XTN500 2pin,Mobile_Electronics,4,0.0,0.0,N,Y,Work very well,Work very well ,2015-08-31,1441015251.0,193.93.167.87,Positive,Positive,No,Yes,positive
4,US,44855305,R26I2RI1GFV8QG,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,2,0.0,0.0,N,Y,Cameras has battery issues,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!",2015-08-31,1440973308.0,205.10.168.66,Neutral,Positive,Yes,Yes,negative
5,US,7846966,RY8DDL22YG4R5,B00KA6CCVY,563475445,Aweek® Air Acoustic Earpiece Headset for Baofeng Two Way Radios UV-5R UV-B6 BF-888S UV-B6 UV-B5 Walkie Talkies 2-Pin Jack,Mobile_Electronics,3,0.0,1.0,N,Y,"It appears to be good, but I'm still waiting for my other items ...","It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars",2015-08-31,1440977588.0,205.10.168.66,Positive,Positive,No,Yes,neutral
6,US,21299354,R2AT2426ZHFUHH,B00MJCDPM2,563475445,Sentey LS-4460 B-Trek S8 Bluetooth Portable Stereo Speaker (Black),Mobile_Electronics,3,0.0,1.0,N,Y,Didn't love the first one,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised.",2015-08-31,1441033322.0,205.10.168.66,Positive,Negative,Yes,Yes,neutral
7,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,563475445,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1441012613.0,205.10.168.66,Positive,Positive,No,Yes,positive
8,US,20422322,R8MEA6IGAHO0B,B00MC4CED8,217304173,BlackVue DR600GW-PMP,Mobile_Electronics,5,0.0,0.0,N,Y,Very Happy!,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car.",2015-08-31,1440987567.0,206.33.134.174,Positive,Positive,No,Yes,positive
9,US,40835037,R31LOQ8JGLPRLK,B00OQMFG1Q,137313254,GENSSI GSM / GPS Two Way Smart Phone Car Alarm System for iPhone Android Security,Mobile_Electronics,5,0.0,1.0,N,Y,five star,it's great,2015-08-31,1441001998.0,219.3.75.180,Neutral,Positive,Yes,Yes,positive
10,US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0.0,0.0,N,Y,great cables,These work great and fit my life proof case for the iPhone 6,2015-08-31,1440959483.0,194.12.14.67,Positive,Positive,No,Yes,positive
